occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse
Data Entry and Information Processing Workers,207390,1.6,17.52,36440,0.4
Data Entry Keyers,159930,1.8,16.74,34820,0.3
Word Processors and Typists,47460,2.9,20.13,41880,0.8
Desktop Publishers,8740,5.0,23.43,48740,1.9
Desktop Publishers,8740,5.0,23.43,48740,1.9
Insurance Claims and Policy Processing Clerks,257000,1.9,20.81,43280,0.4
Insurance Claims and Policy Processing Clerks,257000,1.9,20.81,43280,0.4
"Mail Clerks and Mail Machine Operators, Except Postal Service",83580,2.5,15.68,32620,0.5
"Mail Clerks and Mail Machine Operators, Except Postal Service",83580,2.5,15.68,32620,0.5
"Office Clerks, General",2956060,0.5,17.48,36360,0.2
"Office Clerks, General",2956060,0.5,17.48,36360,0.2
"Office Machine Operators, Except Computer",45960,3.2,16.9,35150,0.6
"Office Machine Operators, Except Computer",45960,3.2,16.9,35150,0.6
Proofreaders and Copy Markers,7730,6.1,20.77,43200,1.6
Proofreaders and Copy Markers,7730,6.1,20.77,43200,1.6
Statistical Assistants,9810,3.6,24.83,51640,1.7
Statistical Assistants,9810,3.6,24.83,51640,1.7
Miscellaneous Office and Administrative Support Workers,188360,1.2,18.41,38290,1.3
"Office and Administrative Support Workers, All Other",188360,1.2,18.41,38290,1.3
"Farming, Fishing, and Forestry Occupations",484750,1.3,15.07,31340,0.5
"Supervisors of Farming, Fishing, and Forestry Workers",22560,2.7,25.25,52520,0.8
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",22560,2.7,25.25,52520,0.8
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",22560,2.7,25.25,52520,0.8
Agricultural Workers,415390,1.4,14,29120,0.5
Agricultural Inspectors,13760,3.6,22.67,47160,0.7
Agricultural Inspectors,13760,3.6,22.67,47160,0.7
Animal Breeders,1610,10.4,22.32,46420,2.9
Animal Breeders,1610,10.4,22.32,46420,2.9
"Graders and Sorters, Agricultural Products",34340,4.4,13.25,27570,3.0
"Graders and Sorters, Agricultural Products",34340,4.4,13.25,27570,3.0
Miscellaneous Agricultural Workers,365680,1.6,13.71,28510,0.5
Agricultural Equipment Operators,26990,4.1,16.01,33300,1.0
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",295520,2.0,13.36,27780,0.6
"Farmworkers, Farm, Ranch, and Aquacultural Animals",36630,3.0,14.37,29880,0.8
"Agricultural Workers, All Other",6540,8.6,16.31,33930,2.5
"Forest, Conservation, and Logging Workers",44720,2.4,19.78,41130,1.0
Forest and Conservation Workers,6760,5.1,15.76,32790,0.9
Forest and Conservation Workers,6760,5.1,15.76,32790,0.9
Logging Workers,37960,2.6,20.49,42620,1.1
Fallers,4890,12.7,23.88,49670,4.2
Logging Equipment Operators,26030,3.1,20.22,42060,1.3
Log Graders and Scalers,3300,5.0,18.8,39110,1.6
"Logging Workers, All Other",3750,8.7,19.42,40390,2.4
Construction and Extraction Occupations,6194140,0.3,25.28,52580,0.2
Supervisors of Construction and Extraction Workers,626180,0.6,34.35,71440,0.2
First-Line Supervisors of Construction Trades and Extraction Workers,626180,0.6,34.35,71440,0.2
First-Line Supervisors of Construction Trades and Extraction Workers,626180,0.6,34.35,71440,0.2
Construction Trades Workers,4617440,0.3,24.68,51330,0.2
Boilermakers,15820,7.4,31.27,65040,1.3
Boilermakers,15820,7.4,31.27,65040,1.3
"Brickmasons, Blockmasons, and Stonemasons",73040,2.2,26.46,55040,1.0
Brickmasons and Blockmasons,60650,2.4,27.15,56470,1.0
Stonemasons,12390,7.1,23.11,48070,2.6
Carpenters,734170,0.8,25.41,52850,0.4
Carpenters,734170,0.8,25.41,52850,0.4
"Carpet, Floor, and Tile Installers and Finishers",87700,2.6,22.44,46680,1.0
Carpet Installers,26010,5.1,21.79,45320,1.9
"Floor Layers, Except Carpet, Wood, and Hard Tiles",16290,7.0,23.37,48610,2.2
Floor Sanders and Finishers,4940,9.6,20.34,42300,2.8
Tile and Stone Setters,40470,3.9,22.74,47300,1.5
"Cement Masons, Concrete Finishers, and Terrazzo Workers",199090,1.6,23.3,48450,0.6
Cement Masons and Concrete Finishers,196120,1.6,23.24,48330,0.6
Terrazzo Workers and Finishers,2970,11.1,27.09,56340,4.8
Construction Laborers,1020350,0.7,20.06,41730,0.3
Construction Laborers,1020350,0.7,20.06,41730,0.3
Construction Equipment Operators,455050,0.8,25.66,53370,0.3
"Paving, Surfacing, and Tamping Equipment Operators",45770,3.1,21.46,44630,1.1
Pile Driver Operators,3540,8.4,33.76,70230,3.5
Operating Engineers and Other Construction Equipment Operators,405750,0.8,26.06,54210,0.4
"Drywall Installers, Ceiling Tile Installers, and Tapers",120820,2.5,25.09,52190,1.1
Drywall and Ceiling Tile Installers,102850,2.6,24.31,50560,1.2
Tapers,17970,5.0,29.59,61550,1.4
Electricians,688620,0.9,29.02,60370,0.5
Electricians,688620,0.9,29.02,60370,0.5
Glaziers,52400,3.7,23.95,49810,1.2
Glaziers,52400,3.7,23.95,49810,1.2
Insulation Workers,60220,3.5,23.6,49090,1.4
"Insulation Workers, Floor, Ceiling, and Wall",33550,5.2,21.68,45100,2.2
"Insulation Workers, Mechanical",26670,4.5,26.02,54120,1.8
Painters and Paperhangers,236140,1.3,21.46,44630,0.7
"Painters, Construction and Maintenance",232760,1.3,21.46,44640,0.7
Paperhangers,3380,16.4,21.38,44470,4.4
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",479140,1.1,28.16,58570,0.5
Pipelayers,36270,3.7,20.96,43600,1.0
"Plumbers, Pipefitters, and Steamfitters",442870,1.1,28.75,59800,0.6
Plasterers and Stucco Masons,27360,5.3,23.9,49710,1.6
Plasterers and Stucco Masons,27360,5.3,23.9,49710,1.6
Reinforcing Iron and Rebar Workers,18870,5.7,26.27,54650,2.3
Reinforcing Iron and Rebar Workers,18870,5.7,26.27,54650,2.3
Roofers,129690,1.9,22.03,45820,1.0
Roofers,129690,1.9,22.03,45820,1.0
Sheet Metal Workers,131300,2.1,26.19,54480,0.9
Sheet Metal Workers,131300,2.1,26.19,54480,0.9
Structural Iron and Steel Workers,76570,2.7,28.45,59170,1.0
Structural Iron and Steel Workers,76570,2.7,28.45,59170,1.0
Solar Photovoltaic Installers,11080,9.1,22.52,46850,2.0
Solar Photovoltaic Installers,11080,9.1,22.52,46850,2.0
"Helpers, Construction Trades",242400,1.5,16.49,34300,0.4
"Helpers, Construction Trades",242400,1.5,16.49,34300,0.4
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",23480,4.0,18.48,38440,1.5
Helpers--Carpenters,32920,3.1,16.26,33830,0.9
Helpers--Electricians,79260,3.0,16.49,34300,0.7
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",10850,7.2,15.83,32930,1.4
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",58400,3.5,16.23,33750,0.8
Helpers--Roofers,8960,9.6,16.04,33350,1.9
"Helpers, Construction Trades, All Other",28530,3.5,16.06,33400,0.9
Other Construction and Related Workers,437730,0.8,24.81,51600,0.4
Construction and Building Inspectors,110420,1.4,30.96,64390,0.6
Construction and Building Inspectors,110420,1.4,30.96,64390,0.6
Elevator and Escalator Installers and Repairers,28350,4.4,40.02,83250,1.1
Elevator and Escalator Installers and Repairers,28350,4.4,40.02,83250,1.1
Fence Erectors,25900,5.3,18.56,38600,1.6
Fence Erectors,25900,5.3,18.56,38600,1.6
Hazardous Materials Removal Workers,44240,3.1,22.95,47740,1.1
Hazardous Materials Removal Workers,44240,3.1,22.95,47740,1.1
Highway Maintenance Workers,150860,0.8,20.39,42410,0.3
Highway Maintenance Workers,150860,0.8,20.39,42410,0.3
Rail-Track Laying and Maintenance Equipment Operators,16180,8.1,27.48,57160,4.0
Rail-Track Laying and Maintenance Equipment Operators,16180,8.1,27.48,57160,4.0
Septic Tank Servicers and Sewer Pipe Cleaners,29750,3.4,20.56,42760,1.0
Septic Tank Servicers and Sewer Pipe Cleaners,29750,3.4,20.56,42760,1.0
Miscellaneous Construction and Related Workers,32040,3.9,21.17,44030,1.2
Miscellaneous Construction and Related Workers,32040,3.9,21.17,44030,1.2
Extraction Workers,270390,1.6,23.16,48180,0.5
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",84880,2.8,25.15,52320,0.9
"Derrick Operators, Oil and Gas",12110,6.9,23.09,48030,1.2
"Rotary Drill Operators, Oil and Gas",21010,5.8,27.44,57070,1.5
"Service Unit Operators, Oil and Gas",51760,3.6,24.71,51390,1.3
"Excavating and Loading Machine and Dragline Operators, Surface Mining",44090,2.7,23.36,48580,0.8
Continuous Mining Machine Operators,14630,4.4,27.18,56530,1.4
"Roof Bolters, Mining",3140,8.1,28.63,59560,1.8
"Loading and Moving Machine Operators, Underground Mining",4200,7.3,25.83,53730,1.5
"Rock Splitters, Quarry",5080,7.7,17.97,37390,1.6
"Rock Splitters, Quarry",5080,7.7,17.97,37390,1.6
"Roustabouts, Oil and Gas",58930,3.6,19.85,41280,0.9
"Roustabouts, Oil and Gas",58930,3.6,19.85,41280,0.9
Helpers--Extraction Workers,16700,5.7,18.46,38390,1.2
Helpers--Extraction Workers,16700,5.7,18.46,38390,1.2
"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",24940,3.7,23.5,48890,0.9
"Underground Mining Machine Operators and Extraction Workers, All Other",13790,7.5,25.13,52280,1.6
"Installation, Maintenance, and Repair Occupations",5713450,0.3,24.1,50130,0.1
"Supervisors of Installation, Maintenance, and Repair Workers",485700,0.5,33.92,70550,0.2
"First-Line Supervisors of Mechanics, Installers, and Repairers",485700,0.5,33.92,70550,0.2
"First-Line Supervisors of Mechanics, Installers, and Repairers",485700,0.5,33.92,70550,0.2
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",557620,1.0,26.27,54630,0.4
"Computer, Automated Teller, and Office Machine Repairers",98260,2.1,20.23,42070,0.6
"Computer, Automated Teller, and Office Machine Repairers",98260,2.1,20.23,42070,0.6
Radio and Telecommunications Equipment Installers and Repairers,222850,1.9,28.13,58510,0.6
"Radio, Cellular, and Tower Equipment Installers and Repairers",14370,5.8,27.8,57820,1.9
"Telecommunications Equipment Installers and Repairers, Except Line Installers",208480,1.9,28.15,58560,0.6
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",236500,1.5,27.02,56200,0.5
Avionics Technicians,21750,7.3,32.2,66970,1.5
"Electric Motor, Power Tool, and Related Repairers",15890,5.3,22.41,46620,1.7
"Electrical and Electronics Installers and Repairers, Transportation Equipment",9790,5.7,30.61,63670,1.3
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",58930,2.8,29.02,60360,0.6
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",22650,2.9,39.08,81280,0.7
"Electronic Equipment Installers and Repairers, Motor Vehicles",10310,9.1,18.71,38910,2.2
Audiovisual Equipment Installers and Repairers,25590,5.4,20.25,42130,1.5
Security and Fire Alarm Systems Installers,71600,2.5,24.14,50210,0.6
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",1638920,0.4,22.81,47440,0.3
Aircraft Mechanics and Service Technicians,133310,1.6,32.27,67110,0.9
Aircraft Mechanics and Service Technicians,133310,1.6,32.27,67110,0.9
Automotive Technicians and Repairers,818920,0.6,21.71,45150,0.3
Automotive Body and Related Repairers,144180,1.3,22.79,47390,0.6
Automotive Glass Installers and Repairers,19410,6.2,18,37440,1.6
Automotive Service Technicians and Mechanics,655330,0.7,21.58,44890,0.3
Bus and Truck Mechanics and Diesel Engine Specialists,266330,1.1,24.21,50360,0.3
Bus and Truck Mechanics and Diesel Engine Specialists,266330,1.1,24.21,50360,0.3
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,210020,1.2,25.55,53140,0.4
Farm Equipment Mechanics and Service Technicians,36290,2.2,20.97,43630,0.6
"Mobile Heavy Equipment Mechanics, Except Engines",147800,1.3,26.36,54840,0.4
Rail Car Repairers,25930,6.0,27.31,56810,1.8
Small Engine Mechanics,70690,1.9,19.26,40050,0.6
Motorboat Mechanics and Service Technicians,22940,3.9,20.89,43440,1.0
Motorcycle Mechanics,15590,3.6,19.22,39970,1.0
Outdoor Power Equipment and Other Small Engine Mechanics,32160,2.8,18.11,37670,0.7
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",139640,2.2,15.24,31710,0.5
Bicycle Repairers,13190,8.3,15.07,31360,1.5
Recreational Vehicle Service Technicians,15580,5.1,20.03,41660,1.3
Tire Repairers and Changers,110880,2.5,14.59,30350,0.5
"Other Installation, Maintenance, and Repair Occupations",3031220,0.4,22.83,47480,0.2
Control and Valve Installers and Repairers,75320,2.7,26.43,54970,0.9
Mechanical Door Repairers,23050,5.3,21.03,43740,1.1
"Control and Valve Installers and Repairers, Except Mechanical Door",52270,3.1,28.81,59920,1.1
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",342040,1.3,24.72,51420,0.4
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",342040,1.3,24.72,51420,0.4
Home Appliance Repairers,31100,4.0,20.38,42400,1.0
Home Appliance Repairers,31100,4.0,20.38,42400,1.0
"Industrial Machinery Installation, Repair, and Maintenance Workers",508660,0.8,26.27,54640,0.2
Industrial Machinery Mechanics,387630,0.9,26.6,55320,0.2
"Maintenance Workers, Machinery",72890,1.6,23.77,49450,0.5
Millwrights,47320,3.1,27.43,57050,0.8
"Refractory Materials Repairers, Except Brickmasons",820,12.6,26.8,55750,2.1
Line Installers and Repairers,232560,1.6,31.52,65570,0.6
Electrical Power-Line Installers and Repairers,111660,1.6,34.6,71960,0.5
Telecommunications Line Installers and Repairers,120900,2.8,28.69,59670,1.1
Precision Instrument and Equipment Repairers,71360,2.0,24.85,51700,0.7
Camera and Photographic Equipment Repairers,3620,10.4,19.58,40720,2.2
Medical Equipment Repairers,46370,2.5,25.54,53130,0.8
Musical Instrument Repairers and Tuners,8020,7.2,19.11,39750,1.7
Watch and Clock Repairers,2780,12.9,21.77,45280,4.6
"Precision Instrument and Equipment Repairers, All Other",10570,4.4,28.82,59940,1.1
"Maintenance and Repair Workers, General",1418990,0.4,20.17,41960,0.2
"Maintenance and Repair Workers, General",1418990,0.4,20.17,41960,0.2
Wind Turbine Service Technicians,5960,10.2,27.26,56700,1.4
Wind Turbine Service Technicians,5960,10.2,27.26,56700,1.4
"Miscellaneous Installation, Maintenance, and Repair Workers",345230,1.2,19.86,41310,0.4
"Coin, Vending, and Amusement Machine Servicers and Repairers",31370,3.0,17.97,37380,1.2
Commercial Divers,3420,11.8,32.26,67100,5.9
Locksmiths and Safe Repairers,17010,4.7,21.38,44460,1.2
Manufactured Building and Mobile Home Installers,2810,10.8,16.49,34300,1.8
Riggers,23000,4.1,25.2,52420,1.1
Signal and Track Switch Repairers,6860,7.0,34.95,72690,1.3
"Helpers--Installation, Maintenance, and Repair Workers",99460,1.8,15.66,32570,0.5
"Installation, Maintenance, and Repair Workers, All Other",161290,2.1,21.06,43800,0.5
Production Occupations,9158980,0.3,19.3,40140,0.2
Supervisors of Production Workers,631100,0.4,31.35,65220,0.2
First-Line Supervisors of Production and Operating Workers,631100,0.4,31.35,65220,0.2
First-Line Supervisors of Production and Operating Workers,631100,0.4,31.35,65220,0.2
Assemblers and Fabricators,1856870,0.7,17.46,36310,0.5
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",42940,5.3,27.15,56460,2.8
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",42940,5.3,27.15,56460,2.8
"Electrical, Electronics, and Electromechanical Assemblers",297880,1.6,17.79,37010,0.5
"Coil Winders, Tapers, and Finishers",12690,6.0,18.63,38760,1.9
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",285190,1.6,17.75,36930,0.5
Engine and Other Machine Assemblers,45980,4.9,22.39,46570,1.6
Engine and Other Machine Assemblers,45980,4.9,22.39,46570,1.6
Structural Metal Fabricators and Fitters,76890,2.4,20.67,43000,1.0
Structural Metal Fabricators and Fitters,76890,2.4,20.67,43000,1.0
Fiberglass Laminators and Fabricators,20010,5.3,17.78,36970,1.2
Fiberglass Laminators and Fabricators,20010,5.3,17.78,36970,1.2
Timing Device Assemblers and Adjusters,1260,10.5,18.32,38110,4.2
Timing Device Assemblers and Adjusters,1260,10.5,18.32,38110,4.2
Miscellaneous Assemblers and Fabricators,1371920,0.9,16.73,34800,0.5
Miscellaneous Assemblers and Fabricators,1371920,0.9,16.73,34800,0.5
Food Processing Workers,802290,1.0,14.94,31080,0.3
Bakers,184990,1.7,14.25,29630,0.4
Bakers,184990,1.7,14.25,29630,0.4
"Butchers and Other Meat, Poultry, and Fish Processing Workers",364150,1.7,14.87,30920,0.5
Butchers and Meat Cutters,136770,2.1,16.35,34010,0.6
"Meat, Poultry, and Fish Cutters and Trimmers",153990,3.0,13.85,28810,0.9
Slaughterers and Meat Packers,73390,3.2,14.23,29600,0.8
Miscellaneous Food Processing Workers,253140,1.5,15.56,32360,0.5
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",20830,3.5,16.29,33880,1.4
Food Batchmakers,159390,1.9,15.92,33120,0.7
Food Cooking Machine Operators and Tenders,30030,4.0,15.54,32320,1.0
"Food Processing Workers, All Other",42890,3.7,13.85,28820,0.5
Metal Workers and Plastic Workers,1825170,0.5,20.22,42050,0.2
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",125730,2.9,18.89,39290,0.6
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",76940,2.4,18.16,37770,0.7
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",16320,4.8,19.81,41200,1.5
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",32470,9.5,20.15,41920,1.2
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",329530,1.1,18.48,38440,0.5
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",195040,1.4,17.94,37310,0.7
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",10870,5.4,20.49,42630,1.6
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",76810,2.0,18.2,37860,0.5
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",28070,3.5,20.19,41990,0.8
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",18730,6.5,21.55,44820,1.6
Machinists,383470,1.0,22.17,46120,0.3
Machinists,383470,1.0,22.17,46120,0.3
"Metal Furnace Operators, Tenders, Pourers, and Casters",25160,3.8,20.43,42500,0.9
Metal-Refining Furnace Operators and Tenders,17150,3.9,20.81,43280,1.2
"Pourers and Casters, Metal",8010,6.7,19.64,40850,1.3
"Model Makers and Patternmakers, Metal and Plastic",7310,5.2,25.75,53560,1.3
"Model Makers, Metal and Plastic",4300,7.2,27.61,57420,1.7
"Patternmakers, Metal and Plastic",3010,7.3,23.1,48050,1.7
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",190110,1.6,16.77,34870,0.5
Foundry Mold and Coremakers,17590,5.2,17.75,36920,1.4
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",172520,1.7,16.67,34670,0.5
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",146950,1.9,18.47,38410,1.0
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",146950,1.9,18.47,38410,1.0
Tool and Die Makers,70770,2.0,26.43,54980,0.9
Tool and Die Makers,70770,2.0,26.43,54980,0.9
"Welding, Soldering, and Brazing Workers",445850,0.9,21.54,44800,0.3
"Welders, Cutters, Solderers, and Brazers",410750,0.9,21.73,45190,0.3
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",35110,3.1,19.35,40240,1.1
Miscellaneous Metal Workers and Plastic Workers,100300,2.2,18.49,38470,0.6
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",19560,3.9,19.16,39840,0.8
"Layout Workers, Metal and Plastic",8150,4.3,23.51,48900,1.6
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",41810,3.2,17.14,35640,0.7
"Tool Grinders, Filers, and Sharpeners",6440,5.2,20.18,41970,1.6
"Metal Workers and Plastic Workers, All Other",24340,5.7,18.17,37790,1.2
Printing Workers,249300,1.2,18.65,38790,0.5
Printing Workers,249300,1.2,18.65,38790,0.5
Prepress Technicians and Workers,30270,2.6,20.45,42540,1.0
Printing Press Operators,173430,1.4,18.8,39100,0.5
Print Binding and Finishing Workers,45600,3.2,16.89,35130,0.8
"Textile, Apparel, and Furnishings Workers",569260,0.9,13.78,28660,0.3
Laundry and Dry-Cleaning Workers,209330,1.3,12.22,25420,0.4
Laundry and Dry-Cleaning Workers,209330,1.3,12.22,25420,0.4
"Pressers, Textile, Garment, and Related Materials",38070,3.3,11.93,24820,0.7
"Pressers, Textile, Garment, and Related Materials",38070,3.3,11.93,24820,0.7
Sewing Machine Operators,133410,1.8,13.46,28000,0.5
Sewing Machine Operators,133410,1.8,13.46,28000,0.5
Shoe and Leather Workers,13780,8.5,14.7,30570,1.6
Shoe and Leather Workers and Repairers,8760,8.7,14.7,30580,1.9
Shoe Machine Operators and Tenders,5020,17.3,14.68,30540,2.5
"Tailors, Dressmakers, and Sewers",28880,6.4,16.32,33950,1.5
"Sewers, Hand",4770,10.3,14.92,31020,2.0
"Tailors, Dressmakers, and Custom Sewers",24110,7.4,16.6,34530,1.7
"Textile Machine Setters, Operators, and Tenders",74220,2.2,14.77,30720,0.6
Textile Bleaching and Dyeing Machine Operators and Tenders,8690,6.0,14.81,30810,1.2
"Textile Cutting Machine Setters, Operators, and Tenders",13210,4.6,14.26,29660,0.8
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",21130,4.4,15.05,31300,1.1
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",31190,3.2,14.78,30740,0.9
"Miscellaneous Textile, Apparel, and Furnishings Workers",71570,3.2,17.67,36750,0.8
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",18230,5.4,18.16,37760,1.3
Fabric and Apparel Patternmakers,5870,11.2,25.35,52740,3.3
Upholsterers,29420,3.8,17.62,36640,0.8
"Textile, Apparel, and Furnishings Workers, All Other",18060,8.0,14.76,30710,1.9
Woodworkers,253080,1.4,16.66,34660,0.4
Cabinetmakers and Bench Carpenters,99400,2.1,18.09,37620,0.6
Cabinetmakers and Bench Carpenters,99400,2.1,18.09,37620,0.6
Furniture Finishers,16220,3.6,16.51,34350,0.8
Furniture Finishers,16220,3.6,16.51,34350,0.8
"Model Makers and Patternmakers, Wood",1190,22.2,28.49,59270,2.8
"Model Makers, Wood",810,30.9,27.56,57320,3.8
"Patternmakers, Wood",370,21.3,30.53,63490,3.7
"Woodworking Machine Setters, Operators, and Tenders",129580,2.0,15.47,32170,0.4
"Sawing Machine Setters, Operators, and Tenders, Wood",50730,2.4,15.46,32150,0.6
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",78850,2.9,15.47,32180,0.5
Miscellaneous Woodworkers,6700,6.7,16.96,35270,1.5
"Woodworkers, All Other",6700,6.7,16.96,35270,1.5
Plant and System Operators,302270,1.0,30.4,63230,0.4
"Power Plant Operators, Distributors, and Dispatchers",49440,2.2,40.22,83660,0.5
Nuclear Power Reactor Operators,5050,5.9,48.55,100990,1.0
Power Distributors and Dispatchers,10770,3.7,42.74,88910,0.7
Power Plant Operators,33620,2.7,38.16,79370,0.6
Stationary Engineers and Boiler Operators,32520,2.2,31.71,65970,1.0
Stationary Engineers and Boiler Operators,32520,2.2,31.71,65970,1.0
Water and Wastewater Treatment Plant and System Operators,123730,1.0,24.28,50490,0.5
Water and Wastewater Treatment Plant and System Operators,123730,1.0,24.28,50490,0.5
Miscellaneous Plant and System Operators,96580,2.6,32.77,68170,0.6
Chemical Plant and System Operators,28840,4.9,30.15,62710,1.2
Gas Plant Operators,14410,4.5,34.16,71050,0.9
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",40370,4.5,35.49,73830,1.1
"Plant and System Operators, All Other",12950,4.3,28.61,59500,1.0
Other Production Occupations,2669650,0.5,18.64,38770,0.2
"Chemical Processing Machine Setters, Operators, and Tenders",138290,2.0,23.68,49250,0.7
Chemical Equipment Operators and Tenders,87120,2.8,24.78,51540,0.8
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51160,2.6,21.81,45370,1.0
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",187870,1.6,18.63,38740,0.4
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",33360,2.8,18.88,39270,0.7
"Grinding and Polishing Workers, Hand",29170,3.7,15.9,33060,0.8
"Mixing and Blending Machine Setters, Operators, and Tenders",125340,2.2,19.19,39920,0.4
Cutting Workers,67620,2.2,17.37,36120,0.5
"Cutters and Trimmers, Hand",9670,5.0,15.55,32340,1.2
"Cutting and Slicing Machine Setters, Operators, and Tenders",57960,2.4,17.67,36750,0.5
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",71850,2.2,17.9,37240,0.6
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",71850,2.2,17.9,37240,0.6
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",18970,3.3,19.88,41350,0.7
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",18970,3.3,19.88,41350,0.7
"Inspectors, Testers, Sorters, Samplers, and Weighers",576950,0.7,20.67,43000,0.4
"Inspectors, Testers, Sorters, Samplers, and Weighers",576950,0.7,20.67,43000,0.4
Jewelers and Precious Stone and Metal Workers,23590,4.5,22.09,45950,2.0
Jewelers and Precious Stone and Metal Workers,23590,4.5,22.09,45950,2.0
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,77730,2.2,19.58,40730,0.6
Dental Laboratory Technicians,34460,2.9,21.31,44330,0.8
Medical Appliance Technicians,14130,5.0,21.25,44200,1.3
Ophthalmic Laboratory Technicians,29150,4.5,16.73,34800,0.9
Packaging and Filling Machine Operators and Tenders,390540,1.3,16.15,33590,0.4
Packaging and Filling Machine Operators and Tenders,390540,1.3,16.15,33590,0.4
Painting Workers,158780,1.4,19.63,40820,0.5
"Painting, Coating, and Decorating Workers",12430,3.7,17.11,35600,1.0
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",146350,1.5,19.84,41260,0.5
Semiconductor Processing Technicians,27680,7.4,20.17,41950,2.6
Semiconductor Processing Technicians,27680,7.4,20.17,41950,2.6
Photographic Process Workers and Processing Machine Operators,11940,5.8,17.74,36890,1.6
Photographic Process Workers and Processing Machine Operators,11940,5.8,17.74,36890,1.6
Computer Numerically Controlled Tool Operators and Programmers,177270,1.4,21.9,45560,0.5
Computer Numerically Controlled Tool Operators,151700,1.5,20.75,43170,0.6
Computer Numerically Controlled Tool Programmers,25570,2.8,28.72,59730,0.8
Miscellaneous Production Workers,740570,1.0,16.34,33980,0.4
Adhesive Bonding Machine Operators and Tenders,13890,4.7,17.31,36010,1.2
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",16410,3.5,16.46,34230,1.1
Cooling and Freezing Equipment Operators and Tenders,8740,4.2,17.8,37010,1.1
Etchers and Engravers,10310,6.1,16.24,33770,1.9
"Molders, Shapers, and Casters, Except Metal and Plastic",44890,3.3,17.31,36000,0.7
"Paper Goods Machine Setters, Operators, and Tenders",100290,2.2,19.7,40980,0.9
Tire Builders,20790,6.6,21.64,45010,2.0
Helpers--Production Workers,303030,1.9,14.68,30540,0.4
"Production Workers, All Other",222230,1.8,16.26,33830,0.6
